Data;Descricao;Valor;Motorista
02/01/2025;louveira x goiania;7500,00;//
03/01/2025;rio preto x guarulhus;4000,00;//
06/01/2025;louveira x goiania;7500,00;//
08/01/2025;cravinhos x louveira;3200,00;//
09/01/2025;louveira x goiania;7500,00;//
11/01/2025;cravinhos x louveira;3200,00;//
12/01/2025;louveira x goiania;7500,00;//
14/01/2025;são jose x guarulhus;4000,00;//
17/01/2025;são jose x guarulhus;4000,00;//
20/01/2025;louveira x goiania;7500,00;//
23/01/2025;louveira x betim;3660,00;//
28/01/2025;betim x goiania;5050,00;//
29/01/2025;goiania x betim;5050,00;//
31/01/2025;betim x meriti;3230,00;//
01/02/2025;cravinhos x louveira;2410,00;//
04/02/2025;louveira x goiania;7500,00;//
05/02/2025;são jose x guarulhus;4100,00;//
06/02/2025;guarulhus x araçatuba;5000,00;//
07/02/2025;são jose x guarulhus;4100,00;//
09/02/2025;louveira x goiania;7500,00;//
10/02/2025;são jose x guarulhus;4100,00;//
11/02/2025;guarulhus x araçatuba;5000,00;//
12/02/2025;são jose x guarulhus;4100,00;//
13/02/2025;louveira x goiania;7000,00;//
15/02/2025;cravinhos x louveira;2420,00;//
18/02/2025;louveira x goiania;7000,00;//
19/02/2025;são jose x guarulhus;4100,00;//
20/02/2025;louveira x goiania;7000,00;//
22/02/2025;louveira x betim;3150,00;//
25/02/2025;betim x louveira;2660,00;//
27/02/2025;louveira x betim;3150,00;//
04/03/2025;louveira x goiania;7000,00;//
06/03/2025;rio preto x guarulhus;4100,00;//
07/03/2025;louveira x goiania;7000,00;//
08/03/2025;rio preto x guarulhus;4100,00;//
11/03/2025;louveira x goiania;7000,00;//
12/03/2025;rio preto x guarulhus;4100,00;//
13/03/2025;guarulhus x araçatuba;5000,00;//
14/03/2025;rio preto x guarulhus;4100,00;//
15/03/2025;louveira x guarulhus;7000,00;//
18/03/2025;louveira x goiania;7000,00;//
19/03/2025;rio preto x guarulhus;4100,00;//
20/03/2025;louveira x goiania;7000,00;//
21/01/2025;VAZIO goiania x cravinhos;1800,00;//
22/03/2025;cravinhos x rio;4390,00;//
24/03/2025;VAZIO meriti x campo grande;135,00;//
24/03/2025;campo grande x betim;3230,00;//
28/03/2025;betim x rio;3230,00;//
30/03/2025;meriti x cachoeiro itapemirim;2920,00;//
30/03/2025;VAZIO cachoeiro itaperimim x meriti;1490,00;//
01/04/2025;guarulhus x araçatuba;5000,00;//
02/04/2025;rio preto x guarulhus;4100,00;//
03/04/2025;louveira x goiania;7000,00;//
04/04/2025;rio preto x guarulhus;4100,00;//
08/04/2025;louveira x goiania;7000,00;//
08/04/2025;rio preto x guarulhus;4100,00;//
09/04/2025;louveira x goiania;7000,00;//
10/04/2025;rio preto x guarulhus;4100,00;//
13/04/2025;guarulhus x araçatuba;5000,00;//
14/04/2025;rio preto x guarulhus;4100,00;//
16/04/2025;infrutifera louveira x goiania;500,00;//
16/04/2025;louveira x goiania;7000,00;//
18/04/2025;guarulhus x araçatuba;5100,00;//
20/04/2025;guarulhus x araçatuba;5100,00;//
23/04/2025;guarulhus x araçatuba;5100,00;//
24/04/2025;prudente x louveira;4000,00;//
29/04/2025;infrutifera louveira x goiania;500,00;//
29/04/2025;louveira x goiania;7000,00;//
01/05/2025;cravinhos x louveira;2400,00;//
02/05/2025;louveira x goiania;7000,00;//
03/05/2025;cravinhos x louveira;2400,00;//
04/05/2025;louveira x goiania;7000,00;//
05/05/2025;cravinhos x louveira;2400,00;//
07/05/2025;louveira x goiania;7000,00;//
09/05/2025;cravinhos x louveira;2400,00;//
13/05/2025;louveira x goiania;7000,00;//
14/05/2025;cravinhos x louveira;2400,00;//
15/05/2025;louveira x goiania;7000,00;//
16/05/2025;cravinhos x louveira;2400,00;//
18/05/2025;louveira x goiania;7000,00;//
20/05/2025;cravinhos x louveira;2400,00;//
23/05/2025;louveira x goiania;7000,00;//
26/05/2025;louveira x goiania;7000,00;//
